n,Number of Operations
818,12732178
819,12763304
820,12794468
821,12825670
822,12856910
823,12888188
824,12919504
825,12950858
826,12982250
827,13013680
828,13045148
829,13076654
830,13108198
831,13139780
832,13171400
833,13203058
834,13234754
835,13266488
836,13298260
837,13330070
838,13361918
839,13393804
840,13425728
841,13457690
842,13489690
843,13521728
844,13553804
845,13585918
846,13618070
847,13650260
848,13682488
849,13714754
850,13747058
851,13779400
852,13811780
853,13844198
854,13876654
855,13909148
856,13941680
857,13974250
858,14006858
859,14039504
860,14072188
861,14104910
862,14137670
863,14170468
864,14203304
865,14236178
866,14269090
867,14302040
868,14335028
869,14368054
870,14401118
871,14434220
872,14467360
873,14500538
874,14533754
875,14567008
876,14600300
877,14633630
878,14666998
879,14700404
880,14733848
881,14767330
882,14800850
883,14834408
884,14868004
885,14901638
886,14935310
887,14969020
888,15002768
889,15036554
890,15070378
891,15104240
892,15138140
893,15172078
894,15206054
895,15240068
896,15274120
897,15308210
898,15342338
899,15376504
900,15410708
901,15444950
902,15479230
903,15513548
904,15547904
905,15582298
906,15616730
907,15651200
908,15685708
909,15720254
910,15754838
911,15789460
912,15824120
913,15858818
914,15893554
915,15928328
916,15963140
917,15997990
918,16032878
919,16067804
920,16102768
921,16137770
922,16172810
923,16207888
924,16243004
925,16278158
926,16313350
927,16348580
928,16383848
929,16419154
930,16454498
931,16489880
932,16525300
933,16560758
934,16596254
935,16631788
936,16667360
937,16702970
938,16738618
939,16774304
940,16810028
941,16845790
942,16881590
943,16917428
944,16953304
945,16989218
946,17025170
947,17061160
948,17097188
949,17133254
950,17169358
951,17205500
952,17241680
953,17277898
954,17314154
955,17350448
956,17386780
957,17423150
958,17459558
959,17496004
960,17532488
961,17569010
962,17605570
963,17642168
964,17678804
965,17715478
966,17752190
967,17788940
968,17825728
969,17862554
970,17899418
971,17936320
972,17973260
973,18010238
974,18047254
975,18084308
976,18121400
977,18158530
978,18195698
979,18232904
980,18270148
981,18307430
982,18344750
983,18382108
984,18419504
985,18456938
986,18494410
987,18531920
988,18569468
989,18607054
990,18644678
991,18682340
992,18720040
993,18757778
994,18795554
995,18833368
996,18871220
997,18909110
998,18947038
999,18985004
1000,19023008
